Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Month,Budget_Planned,Variance,Cost_Per_Click
Women 35-44,Product Launch,30 Days,Facebook,0.07,4979.96,4.22,12715,39181,6,Technology,2022-02-18,Tech Titans,Feb,5477.956,497.9960000000001,0.39
Men 35-44,Product Launch,30 Days,Twitter,0.14,6144.87,7.44,15892,48592,9,Food,2022-08-24,Gastronomy Guild,Aug,6759.357000000001,614.487000000001,0.39
All Ages,Market Expansion,45 Days,Twitter,0.07,10579.97,4.02,27933,84257,9,Home,2022-07-14,Dwell Delight,Jul,11637.967,1057.9970000000012,0.38
Men 25-34,Brand Awareness,30 Days,Instagram,0.08,4171.69,7.66,10512,32657,2,Fashion,2022-04-05,Vogue Visions,Apr,4588.859,417.1690000000008,0.4
Women 35-44,Market Expansion,45 Days,Instagram,0.11,10306.78,6.88,27184,82040,3,Fashion,2022-06-30,Trend Tailors,Jun,11337.458000000002,1030.6780000000017,0.38
Women 25-34,Increase Sales,15 Days,Facebook,0.04,3497.84,7.94,8681,27232,6,Home,2022-05-04,Furnish Fine,May,3847.6240000000003,349.7840000000001,0.4
All Ages,Market Expansion,60 Days,Instagram,0.02,14169.26,5.56,37018,111168,5,Technology,2022-11-21,Silicon Saga,Nov,15586.186000000002,1416.9260000000013,0.38
Women 25-34,Brand Awareness,15 Days,Pinterest,0.05,3597.5,0.8687117014366891,5257,18100,1,Fashion,2022-12-09,Silk & Style,Dec,3957.2500000000005,359.75000000000045,0.68
Men 25-34,Increase Sales,60 Days,Twitter,0.08,15000.0,7.63,39450,118370,6,Health,2022-08-31,Aura Align,Aug,16500.0,1500.0,0.38
Women 25-34,Market Expansion,15 Days,Pinterest,0.08,1646.0,0.1304855024791734,2411,8833,1,Fashion,2022-04-19,Glam Garments,Apr,1810.6000000000001,164.60000000000014,0.68
Women 35-44,Product Launch,45 Days,Twitter,0.06,10346.33,0.3,27294,82365,7,Home,2022-07-02,Hearth Harmony,Jul,11380.963000000002,1034.6330000000016,0.38
Women 35-44,Increase Sales,60 Days,Instagram,0.04,13391.74,7.22,35326,106157,10,Home,2022-10-06,Decor Dreams,Oct,14730.914,1339.174000000001,0.38
Women 35-44,Increase Sales,60 Days,Facebook,0.06,15000.0,0.29,39665,119007,6,Food,2022-05-15,Feast Flavors,May,16500.0,1500.0,0.38
Men 18-24,Increase Sales,30 Days,Facebook,0.12,7172.75,6.38,18668,56814,9,Home,2022-04-29,Space Spruce,Apr,7890.025000000001,717.2750000000005,0.38
Women 35-44,Product Launch,15 Days,Twitter,0.12,2763.96,3.69,6770,21572,7,Health,2022-06-25,Balance Beam,Jun,3040.356,276.3960000000002,0.41
Men 35-44,Increase Sales,15 Days,Facebook,0.06,1285.22,4.06,3384,11545,9,Fashion,2022-08-12,Fiber Fashion,Aug,1413.7420000000002,128.52200000000016,0.38
Women 18-24,Product Launch,30 Days,Pinterest,0.12,5048.26,0.2180716616775227,7576,25651,1,Home,2022-03-24,Cozy Corners,Mar,5553.086,504.826,0.67
Men 45-60,Increase Sales,15 Days,Twitter,0.11,3789.47,3.13,9468,29565,10,Home,2022-01-12,Space Spruce,Jan,4168.417,378.94700000000057,0.4
Men 35-44,Increase Sales,15 Days,Pinterest,0.12,2339.07,0.2681208955051509,3359,11919,1,Health,2022-01-08,Elixir Essence,Jan,2572.9770000000003,233.90700000000015,0.7
Women 25-34,Increase Sales,15 Days,Twitter,0.13,4062.11,5.03,10206,31751,8,Health,2022-02-15,Heal Hub,Feb,4468.321000000001,406.2110000000007,0.4
Men 45-60,Market Expansion,30 Days,Twitter,0.05,6953.6,1.82,18071,55048,2,Health,2022-01-07,Vigor Valley,Jan,7648.960000000001,695.3600000000006,0.38
Women 18-24,Increase Sales,15 Days,Facebook,0.07,1851.04,5.23,4550,14997,2,Fashion,2022-05-19,Chic Couture,May,2036.1440000000002,185.10400000000027,0.41
Men 35-44,Product Launch,15 Days,Instagram,0.08,3296.33,7.1,8149,25657,4,Technology,2022-01-21,Silicon Saga,Jan,3625.963,329.63300000000027,0.4
Men 35-44,Product Launch,30 Days,Facebook,0.12,6641.43,5.44,17218,52521,7,Health,2022-09-30,Balance Beam,Sep,7305.573000000001,664.1430000000009,0.39
Women 35-44,Product Launch,30 Days,Facebook,0.06,7739.13,0.76,20202,61358,5,Home,2022-01-24,Nest Neat,Jan,8513.043000000001,773.9130000000014,0.38
Men 25-34,Market Expansion,15 Days,Instagram,0.14,1671.35,1.92,4161,13845,7,Health,2022-06-01,Aura Align,Jun,1838.4850000000001,167.13500000000022,0.4
Women 45-60,Product Launch,60 Days,Pinterest,0.1,13831.03,0.4772551939991686,21327,70426,1,Health,2022-11-14,Well Wish,Nov,15214.133000000002,1383.103000000001,0.65
Men 45-60,Increase Sales,30 Days,Pinterest,0.08,6032.62,1.163644686492355,9157,30797,1,Food,2022-09-27,Dine Divine,Sep,6635.8820000000005,603.2620000000006,0.66
All Ages,Brand Awareness,45 Days,Pinterest,0.07,9724.8,0.3163826566960781,15039,49953,1,Health,2022-05-02,Balance Beam,May,10697.28,972.4800000000014,0.65
Women 35-44,Market Expansion,45 Days,Facebook,0.06,11134.04,3.37,29442,88727,10,Food,2022-06-28,Gourmet Grove,Jun,12247.444000000001,1113.4040000000005,0.38
Women 45-60,Increase Sales,15 Days,Twitter,0.04,3743.38,0.84,9343,29194,5,Food,2022-05-27,Savor Street,May,4117.718000000001,374.33800000000065,0.4
Women 25-34,Brand Awareness,30 Days,Pinterest,0.11,4553.08,0.9062486268074104,6785,23077,1,Health,2022-03-20,Fitness Front,Mar,5008.388,455.308,0.67
Men 35-44,Product Launch,60 Days,Facebook,0.08,12833.42,0.97,33959,102107,10,Home,2022-10-31,Furnish Fine,Oct,14116.762,1283.3420000000006,0.38
Men 18-24,Market Expansion,30 Days,Facebook,0.13,7341.46,2.05,19114,58137,9,Home,2022-03-01,Domestic Dream,Mar,8075.606000000001,734.1460000000006,0.38
Women 25-34,Brand Awareness,45 Days,Pinterest,0.02,7841.99,1.1582822685822525,12029,40148,1,Health,2022-04-16,Wellness Waves,Apr,8626.189,784.1990000000005,0.65
Men 35-44,Brand Awareness,30 Days,Facebook,0.13,6543.07,7.34,16960,51755,4,Fashion,2022-10-24,Trend Tailors,Oct,7197.377,654.3070000000007,0.39
Men 25-34,Brand Awareness,60 Days,Twitter,0.11,13927.37,5.16,36517,109685,10,Health,2022-11-22,Elixir Essence,Nov,15320.107000000002,1392.737000000001,0.38
Men 45-60,Brand Awareness,45 Days,Facebook,0.04,10266.21,2.46,27077,81722,4,Food,2022-06-13,Epicurean Edge,Jun,11292.831,1026.621000000001,0.38
Men 45-60,Increase Sales,30 Days,Twitter,0.1,5302.23,1.18,13602,41809,3,Fashion,2022-02-19,Silk & Style,Feb,5832.453,530.2230000000009,0.39
Women 18-24,Market Expansion,15 Days,Pinterest,0.12,1501.79,0.6631523482160734,2237,8266,1,Health,2022-04-15,Well Wish,Apr,1651.969,150.1790000000001,0.67
Women 45-60,Increase Sales,15 Days,Instagram,0.07,500.0,7.25,1501,5965,10,Fashion,2022-04-20,Chic Couture,Apr,550.0,50.0,0.33
Men 18-24,Brand Awareness,30 Days,Twitter,0.1,4559.79,0.92,11572,35797,10,Fashion,2022-03-17,Vogue Visions,Mar,5015.769,455.97900000000027,0.39
Women 18-24,Product Launch,30 Days,Facebook,0.09,4558.64,5.13,11569,35787,8,Home,2022-07-15,Cozy Corners,Jul,5014.504000000001,455.8640000000005,0.39
Women 35-44,Product Launch,45 Days,Facebook,0.01,7813.24,1.42,20405,61959,1,Technology,2022-01-29,Pixel Pioneers,Jan,8594.564,781.3240000000005,0.38
All Ages,Market Expansion,60 Days,Facebook,0.11,15000.0,5.98,39220,117691,8,Home,2022-11-01,Dwell Delight,Nov,16500.0,1500.0,0.38
Men 45-60,Increase Sales,30 Days,Instagram,0.14,4781.76,2.68,12178,37590,3,Technology,2022-09-24,Pixel Pioneers,Sep,5259.936000000001,478.1760000000004,0.39
Men 35-44,Product Launch,30 Days,Instagram,0.04,5324.62,7.0,13657,41973,7,Fashion,2022-11-25,Silk & Style,Nov,5857.082,532.4620000000004,0.39
Men 35-44,Brand Awareness,15 Days,Instagram,0.15,723.65,5.17,2401,8632,5,Technology,2022-11-30,NexGen Nerds,Nov,796.015,72.36500000000001,0.3
Women 18-24,Increase Sales,45 Days,Instagram,0.12,8343.74,7.9,21859,66266,10,Technology,2022-12-30,Quantum Quirks,Dec,9178.114000000001,834.3740000000016,0.38
All Ages,Brand Awareness,45 Days,Instagram,0.04,8410.53,3.03,22044,66816,3,Food,2022-02-18,Savor Street,Feb,9251.583000000002,841.0530000000017,0.38
Women 45-60,Brand Awareness,15 Days,Pinterest,0.03,2838.42,0.0411118706441231,4084,14280,1,Fashion,2022-10-13,Style Sphere,Oct,3122.262,283.8420000000001,0.7
Women 18-24,Brand Awareness,30 Days,Instagram,0.03,4393.69,4.16,11118,34451,4,Food,2022-12-14,Gourmet Grove,Dec,4833.059,439.3690000000006,0.4
Women 45-60,Product Launch,60 Days,Instagram,0.11,13957.09,2.3,36578,109866,9,Food,2022-01-21,Savor Street,Jan,15352.799,1395.7090000000007,0.38
All Ages,Market Expansion,15 Days,Instagram,0.05,3632.18,1.74,9042,28301,9,Food,2022-12-19,Culinary Quest,Dec,3995.398,363.2180000000003,0.4
Men 25-34,Product Launch,45 Days,Twitter,0.12,8079.21,5.82,21131,64111,10,Fashion,2022-06-23,Fiber Fashion,Jun,8887.131000000001,807.9210000000012,0.38
Men 35-44,Brand Awareness,60 Days,Pinterest,0.09,15000.0,0.7650382885080308,23183,76467,1,Health,2022-11-02,Vigor Valley,Nov,16500.0,1500.0,0.65
Men 18-24,Market Expansion,45 Days,Instagram,0.02,9788.21,4.56,25784,77894,8,Technology,2022-10-26,Tech Titans,Oct,10767.030999999999,978.8209999999999,0.38
Men 25-34,Market Expansion,30 Days,Facebook,0.11,6237.82,6.16,16137,49318,10,Fashion,2022-04-04,Silk & Style,Apr,6861.602,623.7820000000002,0.39
Women 25-34,Product Launch,30 Days,Twitter,0.07,5075.03,7.27,12975,39951,3,Technology,2022-07-05,Gadget Giants,Jul,5582.533,507.5030000000006,0.39
Men 25-34,Brand Awareness,60 Days,Facebook,0.05,12716.23,3.06,33649,101188,6,Food,2022-02-28,Dine Divine,Feb,13987.853000000001,1271.6230000000014,0.38
Women 18-24,Brand Awareness,15 Days,Pinterest,0.06,3409.08,1.412103382993795,4962,17140,1,Technology,2022-04-22,Pixel Pioneers,Apr,3749.9880000000003,340.90800000000036,0.69
Men 45-60,Increase Sales,60 Days,Twitter,0.09,14646.49,2.28,37885,113736,8,Fashion,2022-04-06,Fiber Fashion,Apr,16111.139000000001,1464.6490000000013,0.39
Women 25-34,Brand Awareness,45 Days,Pinterest,0.14,9984.16,1.0206468755562743,15450,51288,1,Food,2022-10-08,Palate Paradise,Oct,10982.576000000001,998.4160000000011,0.65
Women 18-24,Market Expansion,30 Days,Twitter,0.03,5942.73,5.41,15349,46983,6,Home,2022-08-29,Hearth Harmony,Aug,6537.003,594.2730000000001,0.39
Women 18-24,Market Expansion,30 Days,Instagram,0.11,4205.19,0.65,10602,32923,8,Fashion,2022-02-20,Trend Tailors,Feb,4625.709,420.51900000000023,0.4
Men 25-34,Brand Awareness,15 Days,Facebook,0.03,1252.65,7.05,3322,11359,9,Health,2022-01-08,Vigor Valley,Jan,1377.9150000000002,125.2650000000001,0.38
Men 45-60,Increase Sales,15 Days,Facebook,0.07,967.85,6.18,2799,9812,9,Food,2022-02-07,Nosh Nirvana,Feb,1064.6350000000002,96.7850000000002,0.35
Women 35-44,Brand Awareness,60 Days,Instagram,0.09,11417.09,4.84,30213,91012,10,Home,2022-05-02,Space Spruce,May,12558.799,1141.7090000000007,0.38
Men 45-60,Market Expansion,30 Days,Pinterest,0.05,4351.31,1.3388170048890538,6461,22020,1,Fashion,2022-12-20,Attire Artistry,Dec,4786.441000000001,435.1310000000003,0.67
All Ages,Product Launch,60 Days,Pinterest,0.15,13015.42,0.8061501591521538,20214,66800,1,Food,2022-12-13,Bistro Bliss,Dec,14316.962000000001,1301.5420000000013,0.64
Men 45-60,Product Launch,60 Days,Pinterest,0.05,13752.83,0.4611679402688596,21228,70104,1,Home,2022-10-24,Cozy Corners,Oct,15128.113000000001,1375.2830000000013,0.65
Men 45-60,Increase Sales,45 Days,Instagram,0.12,7940.22,6.51,20750,62982,3,Technology,2022-06-09,Silicon Saga,Jun,8734.242,794.0219999999999,0.38
Women 45-60,Product Launch,30 Days,Pinterest,0.13,4955.77,0.5237294825533949,7428,25169,1,Technology,2022-11-24,Code Crafters,Nov,5451.347000000001,495.5770000000002,0.67
Women 35-44,Product Launch,45 Days,Twitter,0.05,10531.85,1.97,27798,83858,4,Technology,2022-05-03,NexGen Nerds,May,11585.035000000002,1053.1850000000013,0.38
Men 45-60,Market Expansion,60 Days,Twitter,0.15,12323.18,5.68,32620,98142,10,Fashion,2022-04-18,Fiber Fashion,Apr,13555.498000000001,1232.3180000000011,0.38
Men 45-60,Brand Awareness,60 Days,Pinterest,0.01,15000.0,1.2512308456907044,22636,74689,1,Home,2022-08-27,Furnish Fine,Aug,16500.0,1500.0,0.66
Men 18-24,Increase Sales,45 Days,Instagram,0.11,9532.08,0.34,25069,75774,2,Health,2022-01-28,Elixir Essence,Jan,10485.288,953.2080000000005,0.38
Women 35-44,Increase Sales,15 Days,Twitter,0.08,2786.77,6.29,6820,21722,6,Home,2022-11-15,Decor Dreams,Nov,3065.447,278.67700000000013,0.41
Women 25-34,Brand Awareness,45 Days,Instagram,0.14,10782.95,2.29,28481,85883,7,Fashion,2022-05-02,Runway Rebels,May,11861.245000000003,1078.295000000002,0.38
Women 25-34,Product Launch,60 Days,Twitter,0.07,15000.0,0.7,39220,117689,6,Health,2022-04-20,Well Wish,Apr,16500.0,1500.0,0.38
Men 18-24,Increase Sales,30 Days,Twitter,0.13,6862.64,5.03,17824,54314,3,Health,2022-11-21,Balance Beam,Nov,7548.904000000001,686.264000000001,0.39
Women 18-24,Product Launch,45 Days,Pinterest,0.13,10277.88,1.2816178805146214,15918,52814,1,Technology,2022-05-28,Code Crafters,May,11305.668,1027.7880000000005,0.65
All Ages,Increase Sales,60 Days,Pinterest,0.09,12083.88,0.3306824377896862,18788,62157,1,Health,2022-05-28,Heal Hub,May,13292.268,1208.3880000000008,0.64
Women 35-44,Brand Awareness,30 Days,Twitter,0.03,4972.13,3.02,12693,39118,1,Technology,2022-02-17,Code Crafters,Feb,5469.343000000001,497.21300000000065,0.39
All Ages,Increase Sales,60 Days,Pinterest,0.03,13608.15,0.6560024576692693,21045,69508,1,Technology,2022-02-20,Giga Geeks,Feb,14968.965,1360.8150000000005,0.65
All Ages,Brand Awareness,60 Days,Instagram,0.12,13096.7,4.3,34616,104052,7,Food,2022-03-16,Savor Street,Mar,14406.370000000003,1309.670000000002,0.38
All Ages,Market Expansion,60 Days,Instagram,0.12,13437.61,1.69,35434,106478,1,Technology,2022-07-08,Cyber Circuit,Jul,14781.371000000001,1343.7610000000004,0.38
Women 35-44,Product Launch,60 Days,Facebook,0.12,11583.71,3.3,30670,92366,8,Food,2022-05-02,Culinary Quest,May,12742.081,1158.371000000001,0.38
Women 18-24,Brand Awareness,60 Days,Instagram,0.03,13213.75,5.1,34904,104908,9,Technology,2022-11-26,Gadget Giants,Nov,14535.125000000002,1321.3750000000018,0.38
Women 45-60,Product Launch,30 Days,Instagram,0.13,4560.63,5.63,11575,35805,4,Food,2022-11-28,Gourmet Grove,Nov,5016.693,456.0630000000001,0.39
Women 45-60,Product Launch,15 Days,Instagram,0.09,1876.08,0.51,4606,15163,5,Health,2022-04-21,Elixir Essence,Apr,2063.688,187.60800000000017,0.41
Men 35-44,Increase Sales,30 Days,Facebook,0.05,5677.93,4.34,14621,44829,6,Technology,2022-08-19,Innovate Infinity,Aug,6245.723000000001,567.7930000000006,0.39
Men 25-34,Market Expansion,45 Days,Twitter,0.01,9823.71,5.21,25885,78191,9,Technology,2022-12-22,Code Crafters,Dec,10806.081,982.371000000001,0.38
Men 45-60,Increase Sales,15 Days,Facebook,0.08,1687.96,5.97,4197,13952,10,Food,2022-07-08,Savor Street,Jul,1856.756,168.79600000000005,0.4
Women 18-24,Product Launch,30 Days,Twitter,0.1,6239.3,1.44,16140,49327,4,Health,2022-02-27,Wellness Waves,Feb,6863.2300000000005,623.9300000000003,0.39
Men 45-60,Product Launch,15 Days,Instagram,0.12,500.0,2.96,783,3839,2,Fashion,2022-05-29,Mode Maven,May,550.0,50.0,0.64
Women 18-24,Increase Sales,60 Days,Pinterest,0.05,14914.78,1.3441794227991566,22489,74210,1,Technology,2022-08-20,Tech Titans,Aug,16406.258,1491.478000000001,0.66
Women 45-60,Product Launch,60 Days,Instagram,0.14,12584.92,1.42,33307,100176,5,Health,2022-11-17,Vigor Valley,Nov,13843.412000000002,1258.492000000002,0.38
Men 18-24,Product Launch,30 Days,Pinterest,0.14,7152.18,0.575566189017724,10929,36569,1,Food,2022-09-09,Gourmet Grove,Sep,7867.398000000001,715.2180000000008,0.65
Men 25-34,Market Expansion,15 Days,Pinterest,0.13,2694.81,1.3280921690688476,3873,13592,1,Health,2022-05-19,Heal Hub,May,2964.291,269.4810000000002,0.7
Men 35-44,Brand Awareness,15 Days,Twitter,0.08,1819.81,3.77,4480,14790,4,Food,2022-10-05,Bistro Bliss,Oct,2001.7910000000002,181.98100000000022,0.41
Women 18-24,Product Launch,45 Days,Instagram,0.07,8975.69,1.31,23560,71306,4,Health,2022-06-29,Fitness Front,Jun,9873.259000000002,897.5690000000013,0.38
All Ages,Market Expansion,15 Days,Pinterest,0.01,2920.54,1.3727789849863727,4212,14696,1,Technology,2022-09-13,Tech Titans,Sep,3212.594,292.0540000000001,0.69
All Ages,Brand Awareness,15 Days,Instagram,0.14,3957.13,5.82,9923,30912,8,Food,2022-08-09,Feast Flavors,Aug,4352.843000000001,395.71300000000065,0.4
Men 35-44,Increase Sales,45 Days,Twitter,0.02,11135.25,7.95,29446,88739,5,Technology,2022-12-04,Cyber Circuit,Dec,12248.775000000001,1113.5250000000015,0.38
Women 25-34,Market Expansion,15 Days,Twitter,0.08,2157.4,0.04,5276,17148,2,Health,2022-04-05,Wellness Waves,Apr,2373.1400000000003,215.74000000000024,0.41
Women 18-24,Product Launch,15 Days,Facebook,0.06,3689.65,3.41,9196,28760,2,Health,2022-04-15,Fitness Front,Apr,4058.6150000000002,368.96500000000015,0.4
Women 18-24,Market Expansion,60 Days,Twitter,0.13,12757.29,3.07,33760,101517,10,Technology,2022-05-07,Quantum Quirks,May,14033.019000000002,1275.7290000000012,0.38
All Ages,Brand Awareness,15 Days,Instagram,0.15,1479.24,3.65,3763,12665,1,Home,2022-04-30,Decor Dreams,Apr,1627.1640000000002,147.9240000000002,0.39
Women 45-60,Increase Sales,60 Days,Pinterest,0.08,15000.0,0.9831099501855536,23440,77307,1,Health,2022-12-06,Aura Align,Dec,16500.0,1500.0,0.64
Men 18-24,Brand Awareness,30 Days,Facebook,0.03,5101.7,5.16,13054,40186,5,Fashion,2022-12-15,Silk & Style,Dec,5611.87,510.1700000000001,0.39
Women 35-44,Brand Awareness,15 Days,Facebook,0.02,2696.71,3.23,6600,21069,4,Technology,2022-12-13,NexGen Nerds,Dec,2966.3810000000003,269.6710000000003,0.41
Men 45-60,Increase Sales,30 Days,Twitter,0.13,4904.92,1.59,12513,38583,8,Fashion,2022-09-24,Chic Couture,Sep,5395.412,490.4920000000002,0.39
Women 25-34,Increase Sales,15 Days,Instagram,0.02,500.0,7.48,1216,5123,5,Food,2022-10-08,Epicurean Edge,Oct,550.0,50.0,0.41
Women 25-34,Product Launch,60 Days,Instagram,0.11,13885.79,2.86,36428,109421,9,Fashion,2022-11-27,Runway Rebels,Nov,15274.369000000002,1388.5790000000015,0.38
All Ages,Product Launch,15 Days,Instagram,0.14,2564.95,6.43,6268,20086,1,Home,2022-01-26,Nest Neat,Jan,2821.445,256.49500000000035,0.41
Men 25-34,Increase Sales,45 Days,Facebook,0.15,11005.77,3.17,29082,87662,6,Technology,2022-09-23,Innovate Infinity,Sep,12106.347000000002,1100.5770000000011,0.38
Men 45-60,Market Expansion,30 Days,Pinterest,0.11,5346.81,0.1018859402919573,8055,27210,1,Home,2022-11-10,Dwell Delight,Nov,5881.491000000001,534.6810000000005,0.66
Men 18-24,Brand Awareness,60 Days,Instagram,0.12,13082.96,0.81,34585,103961,5,Technology,2022-03-21,Cyber Circuit,Mar,14391.256,1308.2960000000003,0.38
Women 18-24,Product Launch,30 Days,Twitter,0.05,6390.56,4.53,16556,50560,8,Fashion,2022-12-21,Fiber Fashion,Dec,7029.616000000001,639.0560000000005,0.39
Women 45-60,Increase Sales,45 Days,Twitter,0.03,10803.75,0.4,28538,86050,7,Food,2022-02-14,Bistro Bliss,Feb,11884.125000000002,1080.3750000000018,0.38
Men 25-34,Market Expansion,45 Days,Twitter,0.11,10178.46,0.34,26840,81022,7,Home,2022-10-07,Homely Haven,Oct,11196.306,1017.8460000000014,0.38
All Ages,Brand Awareness,60 Days,Facebook,0.13,11584.98,2.65,30675,92379,4,Technology,2022-12-17,NexGen Nerds,Dec,12743.478000000001,1158.4980000000014,0.38
Men 18-24,Brand Awareness,60 Days,Facebook,0.15,14991.15,6.06,38398,115257,7,Fashion,2022-10-17,Style Sphere,Oct,16490.265,1499.1149999999998,0.39
All Ages,Product Launch,45 Days,Facebook,0.04,10811.68,3.71,28560,86116,6,Food,2022-06-25,Palate Paradise,Jun,11892.848000000002,1081.1680000000015,0.38
All Ages,Market Expansion,45 Days,Pinterest,0.06,9041.47,0.9652352238185434,13940,46373,1,Health,2022-04-18,Fitness Front,Apr,9945.617,904.1470000000008,0.65
Men 25-34,Market Expansion,30 Days,Instagram,0.05,6208.54,0.47,16059,49088,1,Fashion,2022-10-05,Mode Maven,Oct,6829.394,620.8540000000003,0.39
All Ages,Brand Awareness,45 Days,Facebook,0.1,10612.61,0.41,28021,84519,4,Health,2022-12-12,Vital Vigor,Dec,11673.871000000001,1061.2610000000004,0.38
Women 25-34,Market Expansion,45 Days,Facebook,0.03,11232.55,4.46,29717,89543,4,Food,2022-06-19,Gastronomy Guild,Jun,12355.805,1123.255000000001,0.38
Men 45-60,Market Expansion,15 Days,Facebook,0.05,2493.95,2.31,6094,19572,6,Food,2022-04-10,Gourmet Grove,Apr,2743.345,249.39499999999998,0.41
All Ages,Product Launch,45 Days,Facebook,0.13,11322.58,7.16,29957,90254,5,Home,2022-02-05,Dwell Delight,Feb,12454.838000000002,1132.2580000000016,0.38
All Ages,Brand Awareness,30 Days,Pinterest,0.13,7372.25,0.7114141094070006,11273,37690,1,Fashion,2022-11-07,Mode Maven,Nov,8109.475,737.2250000000004,0.65
Men 25-34,Increase Sales,15 Days,Pinterest,0.06,3175.15,0.8222374128824629,4598,15955,1,Health,2022-10-28,Vital Vigor,Oct,3492.6650000000004,317.5150000000003,0.69
Women 35-44,Brand Awareness,45 Days,Twitter,0.12,11340.84,4.63,30004,90394,9,Fashion,2022-04-21,Vogue Visions,Apr,12474.924,1134.0840000000007,0.38
Men 35-44,Increase Sales,30 Days,Twitter,0.09,4537.78,6.51,11514,35625,4,Health,2022-01-01,Wellness Waves,Jan,4991.558,453.77800000000025,0.39
Women 18-24,Market Expansion,15 Days,Facebook,0.08,3487.84,7.25,8652,27147,1,Technology,2022-10-30,Pixel Pioneers,Oct,3836.6240000000003,348.7840000000001,0.4
